,streams (int),speechiness_%,instrumentalness_%,liveness_%,acousticness_%,energy_%,valence_%,danceability_%,bpm,in_spotify_charts,in_spotify_playlists,artist_count,artist(s)_name,mode
399,338564981.0,4,1,14,84,25,9,41,141,2,3009,1,['Billie Eilish'],Minor
400,1606986953.0,4,0,8,56,49,50,68,82,3,17492,1,['Sam Smith'],Major
401,1301799902.0,3,0,32,62,43,25,47,92,7,6170,1,['Conan Gray'],Major
402,140187018.0,4,0,15,6,80,65,77,116,4,130,6,"['Vishal-Shekhar', 'Shilpa Rao', 'Caralisa Monteiro', 'Kumaar', 'Vishal Dadlani', 'Shekhar Ravjiani']",Minor
403,1897517891.0,11,0,8,4,86,59,79,124,10,27705,2,"['Calvin Harris', 'Dua Lipa']",Minor
404,107642809.0,9,0,17,1,89,83,71,125,0,359,1,['TOMORROW X TOGETHER'],Minor
405,551305895.0,10,0,27,2,69,71,80,90,16,1963,1,['BLACKPINK'],Major
406,556585270.0,34,0,7,31,64,34,46,83,14,5491,3,"['Drake', 'Future', 'Tems']",Major
407,2303033973.0,8,0,10,1,79,68,79,124,0,27119,1,['Dua Lipa'],Minor
408,646886885.0,3,41,8,7,60,4,58,140,14,1776,1,['Mr.Kitty'],Major
409,222612678.0,4,0,72,15,91,61,64,154,4,1473,2,"['Gustavo Mioto', 'Mari Fernandez']",Major
410,1814349763.0,6,0,5,2,70,89,74,150,0,13315,2,"['Jack Harlow', 'Lil Nas X']",Minor
411,872137015.0,5,0,12,2,61,9,41,186,8,4057,1,['Elley Duh�'],Minor
412,571386359.0,3,0,12,5,48,23,40,166,6,3045,1,['Seafret'],Minor
413,304079786.0,9,4,31,0,83,20,87,107,12,3006,2,"['Baby Rasta', 'Rauw Alejandro']",Major
414,174006928.0,24,0,28,31,52,52,87,87,0,852,3,"['DJ Escobar', 'MC MENOR SG', 'MC MENOR HR']",Major
415,284785823.0,7,0,7,21,64,39,40,82,15,2163,1,['Dean Lewis'],Major
416,163284000.0,4,0,21,91,28,60,46,114,0,1484,1,['SZA'],Minor
417,246390068.0,5,13,29,38,52,15,47,148,0,1703,1,['Joji'],Major
418,482257456.0,29,0,40,38,57,97,91,140,44,4169,1,['Central Cee'],Major
419,168684524.0,6,24,33,15,81,76,90,101,0,1054,1,['Bellakath'],Major
420,78489819.0,6,23,6,5,84,6,81,140,0,2849,3,"['Skrillex', 'Flowdan', 'Fred again..']",Minor
421,195516622.0,29,0,18,19,66,24,49,88,0,1602,3,"['Travis Scott', '21 Savage', 'Metro Boomin']",Minor
422,1260594497.0,12,0,14,28,65,44,64,180,28,9644,1,['Bad Bunny'],Major
423,428685680.0,24,0,31,6,89,91,95,133,0,4827,1,['Nicki Minaj'],Major
424,1024858327.0,6,0,6,72,55,20,63,108,0,21811,1,['Kate Bush'],Minor
425,838586769.0,3,0,23,39,43,24,39,80,0,168,1,['Aerosmith'],Minor
426,199386237.0,46,6,11,3,62,46,80,75,0,688,1,['Freddie Dredd'],Minor
427,972509632.0,10,0,17,52,64,26,67,121,44,10565,2,"['Lost Frequencies', 'Calum Scott']",Minor
428,213438580.0,8,0,20,18,62,17,58,140,0,1612,2,"['Twisted', 'Oliver Tree']",Minor
429,1555511105.0,3,0,36,5,90,59,81,126,8,12755,1,['Ed Sheeran'],Minor
430,210038833.0,11,0,9,0,94,29,58,102,4,574,1,['Kenshi Yonezu'],Major
431,227918678.0,4,1,11,60,34,31,70,82,0,2499,1,['Omar Apollo'],Major
432,826623384.0,6,0,72,23,78,53,46,121,2,10426,1,['SZA'],Minor
433,1802514301.0,6,0,7,1,83,92,70,103,8,15894,2,"['Dua Lipa', 'DaBaby']",Minor
434,1329090101.0,9,0,12,9,76,88,82,108,0,9424,1,['Doja Cat'],Minor
435,181831132.0,10,0,12,31,47,36,65,85,7,713,1,['Hotel Ugly'],Minor
436,462791599.0,5,0,5,1,69,70,84,125,28,7758,2,"['James Hype', 'Miggy Dela Rosa']",Minor
437,348647203.0,6,0,13,41,39,40,69,120,2,2537,1,['Taylor Swift'],Major
438,366599607.0,3,0,10,57,57,44,58,94,6,292,3,"['Pritam', 'Arijit Singh', 'Amitabh Bhattacharya']",Major
439,90598517.0,5,4,7,22,80,49,65,130,0,323,3,"['Styrx', 'utku INC', 'Thezth']",Minor
440,1479264469.0,4,0,29,2,74,51,74,110,4,14143,2,"['Maroon 5', 'Wiz Khalifa']",Major
441,1449779435.0,4,0,7,16,63,33,34,150,0,25653,1,['Mariah Carey'],Major
442,1159176109.0,3,0,46,28,65,88,74,107,0,22153,1,['Wham!'],Minor
443,769213520.0,5,0,45,71,41,85,70,140,0,14994,1,['Brenda Lee'],Major
444,741301563.0,3,0,6,84,37,78,74,119,0,10326,1,['Bobby Helms'],Major
445,807561936.0,3,0,29,91,23,38,35,93,0,12353,1,['Michael Bubl�'],Major
446,834129063.0,18,0,30,5,63,53,46,133,0,9408,1,['Ariana Grande'],Major
447,663832097.0,4,0,12,77,60,76,24,202,0,8879,1,['Andy Williams'],Major
448,446390129.0,4,0,18,91,24,72,45,134,0,6512,1,['Dean Martin'],Major
449,690104769.0,3,0,9,48,51,33,72,105,0,5140,1,['Sia'],Major
